timestamp,lux
June 20, 12:00 AM - 40 lux
June 20, 1:00 AM - 38 lux
June 20, 2:00 AM - 36 lux
June 20, 3:00 AM - 35 lux
June 20, 4:00 AM - 34 lux
June 20, 5:00 AM - 30 lux
June 20, 6:00 AM - 42 lux
June 20, 7:00 AM - 45 lux
June 20, 8:00 AM - 50 lux
June 20, 9:00 AM - 70 lux
June 20, 10:00 AM - 120 lux
June 20, 11:00 AM - 135 lux
June 20, 12:00 PM - 150 lux
June 20, 1:00 PM - 160 lux
June 20, 2:00 PM - 140 lux
June 20, 3:00 PM - 120 lux
June 20, 4:00 PM - 90 lux
June 20, 5:00 PM - 70 lux
June 20, 6:00 PM - 60 lux
June 20, 7:00 PM - 55 lux
June 20, 8:00 PM - 50 lux
June 20, 9:00 PM - 45 lux
June 20, 10:00 PM - 42 lux
June 20, 11:00 PM - 40 lux
June 21, 12:00 AM - 38 lux
June 21, 1:00 AM - 36 lux
June 21, 2:00 AM - 35 lux
June 21, 3:00 AM - 34 lux
June 21, 4:00 AM - 30 lux
June 21, 5:00 AM - 42 lux
June 21, 6:00 AM - 45 lux
June 21, 7:00 AM - 50 lux
June 21, 8:00 AM - 70 lux
June 21, 9:00 AM - 120 lux
June 21, 10:00 AM - 135 lux
June 21, 11:00 AM - 150 lux
June 21, 12:00 PM - 160 lux
June 21, 1:00 PM - 140 lux
June 21, 2:00 PM - 120 lux
June 21, 3:00 PM - 90 lux
June 21, 4:00 PM - 70 lux
June 21, 5:00 PM - 60 lux
June 21, 6:00 PM - 55 lux
June 21, 7:00 PM - 50 lux
June 21, 8:00 PM - 45 lux
June 21, 9:00 PM - 42 lux
June 21, 10:00 PM - 40 lux
June 21, 11:00 PM - 38 lux
June 22, 12:00 AM - 36 lux
June 22, 1:00 AM - 35 lux
June 22, 2:00 AM - 34 lux
June 22, 3:00 AM - 30 lux
June 22, 4:00 AM - 42 lux
June 22, 5:00 AM - 45 lux
June 22, 6:00 AM - 50 lux
June 22, 7:00 AM - 70 lux
June 22, 8:00 AM - 120 lux
June 22, 9:00 AM - 135 lux
June 22, 10:00 AM - 150 lux
June 22, 11:00 AM - 160 lux
June 22, 12:00 PM - 140 lux
June 22, 1:00 PM - 120 lux
June 22, 2:00 PM - 90 lux
June 22, 3:00 PM - 70 lux
June 22, 4:00 PM - 60 lux
June 22, 5:00 PM - 55 lux
June 22, 6:00 PM - 50 lux
June 22, 7:00 PM - 45 lux
June 22, 8:00 PM - 42 lux
June 22, 9:00 PM - 40 lux
June 22, 10:00 PM - 38 lux
June 22, 11:00 PM - 36 lux
June 23, 12:00 AM - 35 lux
June 23, 1:00 AM - 34 lux
June 23, 2:00 AM - 30 lux
June 23, 3:00 AM - 42 lux
June 23, 4:00 AM - 45 lux
June 23, 5:00 AM - 50 lux
June 23, 6:00 AM - 70 lux
June 23, 7:00 AM - 120 lux
June 23, 8:00 AM - 135 lux
June 23, 9:00 AM - 150 lux
June 23, 10:00 AM - 160 lux
June 23, 11:00 AM - 140 lux
June 23, 12:00 PM - 120 lux
June 23, 1:00 PM - 90 lux
June 23, 2:00 PM - 70 lux
June 23, 3:00 PM - 60 lux
June 23, 4:00 PM - 55 lux
June 23, 5:00 PM - 50 lux
June 23, 6:00 PM - 45 lux
June 23, 7:00 PM - 42 lux
June 23, 8:00 PM - 40 lux
June 23, 9:00 PM - 38 lux
June 23, 10:00 PM - 36 lux
June 23, 11:00 PM - 35 lux
June 24, 12:00 AM - 34 lux
June 24, 1:00 AM - 30 lux
June 24, 2:00 AM - 42 lux
June 24, 3:00 AM - 45 lux
June 24, 4:00 AM - 50 lux
June 24, 5:00 AM - 70 lux
June 24, 6:00 AM - 120 lux
June 24, 7:00 AM - 135 lux
June 24, 8:00 AM - 150 lux
June 24, 9:00 AM - 160 lux
June 24, 10:00 AM - 140 lux
June 24, 11:00 AM - 120 lux
June 24, 12:00 PM - 90 lux
June 24, 1:00 PM - 70 lux
June 24, 2:00 PM - 60 lux
June 24, 3:00 PM - 55 lux
June 24, 4:00 PM - 50 lux
June 24, 5:00 PM - 45 lux
June 24, 6:00 PM - 42 lux
June 24, 7:00 PM - 40 lux
June 24, 8:00 PM - 38 lux
June 24, 9:00 PM - 36 lux
June 24, 10:00 PM - 35 lux
June 24, 11:00 PM - 34 lux
June 25, 12:00 AM - 30 lux
June 25, 1:00 AM - 42 lux
June 25, 2:00 AM - 45 lux
June 25, 3:00 AM - 50 lux
June 25, 4:00 AM - 70 lux
June 25, 5:00 AM - 120 lux
June 25, 6:00 AM - 135 lux
June 25, 7:00 AM - 150 lux
June 25, 8:00 AM - 160 lux
June 25, 9:00 AM - 140 lux
June 25, 10:00 AM - 120 lux
June 25, 11:00 AM - 90 lux
June 25, 12:00 PM - 70 lux
June 25, 1:00 PM - 60 lux
June 25, 2:00 PM - 55 lux
June 25, 3:00 PM - 50 lux
June 25, 4:00 PM - 45 lux
June 25, 5:00 PM - 42 lux
June 25, 6:00 PM - 40 lux
June 25, 7:00 PM - 38 lux
June 25, 8:00 PM - 36 lux
June 25, 9:00 PM - 35 lux
June 25, 10:00 PM - 34 lux
June 25, 11:00 PM - 30 lux
June 26, 12:00 AM - 42 lux
June 26, 1:00 AM - 45 lux
June 26, 2:00 AM - 50 lux
June 26, 3:00 AM - 70 lux
June 26, 4:00 AM - 120 lux
June 26, 5:00 AM - 135 lux
June 26, 6:00 AM - 150 lux
June 26, 7:00 AM - 160 lux
June 26, 8:00 AM - 140 lux
June 26, 9:00 AM - 120 lux
June 26, 10:00 AM - 90 lux
June 26, 11:00 AM - 70 lux
June 26, 12:00 PM - 60 lux
June 26, 1:00 PM - 55 lux
June 26, 2:00 PM - 50 lux
June 26, 3:00 PM - 45 lux
June 26, 4:00 PM - 42 lux
June 26, 5:00 PM - 40 lux
June 26, 6:00 PM - 38 lux
June 26, 7:00 PM - 36 lux
June 26, 8:00 PM - 35 lux
June 26, 9:00 PM - 34 lux
June 26, 10:00 PM - 30 lux
June 26, 11:00 PM - 42 lux
June 27, 12:00 AM - 45 lux
June 27, 1:00 AM - 50 lux
June 27, 2:00 AM - 70 lux
June 27, 3:00 AM - 120 lux
June 27, 4:00 AM - 135 lux
June 27, 5:00 AM - 150 lux
June 27, 6:00 AM - 160 lux
June 27, 7:00 AM - 140 lux
June 27, 8:00 AM - 120 lux
June 27, 9:00 AM - 90 lux
June 27, 10:00 AM - 70 lux
June 27, 11:00 AM - 60 lux
June 27, 12:00 PM - 55 lux
June 27, 1:00 PM - 50 lux
June 27, 2:00 PM - 45 lux
June 27, 3:00 PM - 42 lux
June 27, 4:00 PM - 40 lux
June 27, 5:00 PM - 38 lux
June 27, 6:00 PM - 36 lux
June 27, 7:00 PM - 35 lux
June 27, 8:00 PM - 34 lux
June 27, 9:00 PM - 30 lux
June 27, 10:00 PM - 42 lux
June 27, 11:00 PM - 45 lux
June 28, 12:00 AM - 50 lux
June 28, 1:00 AM - 70 lux
June 28, 2:00 AM - 120 lux
June 28, 3:00 AM - 135 lux
June 28, 4:00 AM - 150 lux
June 28, 5:00 AM - 160 lux
June 28, 6:00 AM - 140 lux
June 28, 7:00 AM - 120 lux
June 28, 8:00 AM - 90 lux
June 28, 9:00 AM - 70 lux
June 28, 10:00 AM - 60 lux
June 28, 11:00 AM - 55 lux
June 28, 12:00 PM - 50 lux
June 28, 1:00 PM - 45 lux
June 28, 2:00 PM - 42 lux
June 28, 3:00 PM - 40 lux
June 28, 4:00 PM - 38 lux
June 28, 5:00 PM - 36 lux
June 28, 6:00 PM - 35 lux
June 28, 7:00 PM - 34 lux
